index,0,1,2
564,STELLA BLUE,0,none
565,LAZARBEAM,0,none
566,TURTLE,0,none
567,HFD MP5,0,none
568,C NOTE,0,none
569,WTEB FRB,0,none
570,DB PALOUSE,0,none
571,T T MAGIC,0,none
572,AYREDASEY,0,none
573,WDFW572,0,none
574,TWILIGHT LADY,0,none
575,GOOD GIRLS,0,none
576,LODOS,0,none
577,STFYC ARTHUR,0,none
578,ENCHANTE,0,none
579,NAUTI GINGER,0,none
580,PAPER LADY,0,none
581,ER 701,0,none
582,SARATOGA,0,none
583,JESSIE M,0,none
584,FORMILO,0,none
585,DOCS GIRL III,0,none
586,FAST CAT,0,none
587,SUNDAY MORNING,0,none
588,WENDY ANN,0,none
589,MUG UP,0,none
590,LAURA SUE,0,none
591,WITTS END,0,none
592,GITTA,0,none
593,SALTY BLISS,0,none
594,NAVYO,0,none
595,MARINE 23,0,none
596,DRINK OR SWIM,0,none
597,MANAWA,0,none
598,COMPETITION,0,none
599,AQUAMAN,0,none
600,NORSE HOME,0,none
601,CAPT. CODY,0,none
602,STORMBORN,0,none
603,ROLLER BAY,0,none
604,NAUTILUSJETPAC,0,none
605,DITCH DIGGER Z,0,none
606,BASES LOADED 2,0,none
607,MV ONGIARA,0,none
608,SEA STORY,0,none
609,DAYTRIPPER 2,0,none
610,DISCOVERY,0,none
611,GALACTIC,0,none
612,GRACE OF TIDES,0,none
613,THE OFFICE,0,none
614,HIGH PRYORITY,0,none
615,TRANSPORTER,0,none
616,FULMAR,0,none
617,EIGHT BELLS,0,none
618,BRYCE MORGAN,0,none
619,SALISH RAVEN,0,none
620,NADJA DELPHINE,0,none
621,AMERICAN RELIANCE,0,none
622,T/T NSN,0,none
623,HMCS MONCTON,0,none
624,HANUMAN,0,none
625,BLUEBILL,0,none
626,HERB L LEDCOR,0,none
627,LONE STAR,0,none
628,MIN ZIDELL,0,none
629,HMCS GOOSE BAY,0,none
630,NYPD 39,0,none
631,FIREBOAT 3,0,none
632,USS GRAVELY,0,none
633,FORT MCHENRY,0,none
634,WESTMINSTER HYAK,0,none
635,SCF MARINER,0,none
636,H208,0,none
637,H R SPIES,0,none
638,INDEPENDENT,0,none
639,HARKEN NO 6,0,none
640,SAN JOSE,0,none
641,MAXWELL PAUL MORAN,0,none
642,AIMLESS II,0,none
643,F W WRIGHT,0,none
644,BERNARDINE C,0,none
645,COLUMBIA RESPONDER,0,none
646,CATALINA PROVIDER,0,none
647,BILL GOBEL,0,none
648,MICHAEL W BEHRENS,0,none
649,MI AMERE,0,none
650,GARLAND GASPARD,0,none
651,TEMPUS FUGIT II,0,none
652,SNELL,0,none
653,LA ESPADA,0,none
654,MISS ELLIE,0,none
655,REVELRY,0,none
656,PHILADELPHIA,0,none
657,HMCS COUGAR,0,none
658,HYDRUS,0,none
659,MOLINE,0,none
660,ST SIMON,0,none
661,TIE BREAKER,0,none
662,HMCS VANCOUVER,0,none
663,STILETTO,0,none
664,MIGRATOR 1,0,none
665,CULLEN PASENTINE,0,none
666,AMADEO SAENZ JR,0,none
667,HAPPY HAULER,0,none
668,MUSKIE,0,none
669,OCEAN RANGER,0,none
670,MARINER,0,none
671,ENTERPRISE V,0,none
672,MEOW,0,none
673,SAMPSON,0,none
674,TRIUMPH,0,none
675,FLYER,0,none
676,GOODWIN,0,none
677,BRANKO STORM,0,none
678,JOE LOCHRICO,0,none
679,FDNY M1B,0,none
680,H207,0,none
681,POTOMAC TAXI II,0,none
682,TWO SWIFT II,0,none
683,AEGEAN,0,none
684,ROOSTER,0,none
685,A B YORK,0,none
686,GLADYS B,0,none
687,NYPD 351,0,none
688,AHUA POINT,0,none
689,FDNY SE1,0,none
690,ATLS 9701,0,none
691,LEONARD M FISHER,0,none
692,USS GRIDLEY,0,none
693,LOUISIANA TRANSPORTE,0,none
694,SST SALISH,0,none
695,CELESTRA,0,none
696,CHAD PREGRACKE,0,none
