key,numeric type,string type,ID,time ratio,number of line segments,mean speed,standard deviation in speed,number of acceleration points,length,ratio of width to length,type of cargo,receiver class,number of neighbors
CALLWDK7872_MMSI368088660,37,Pleasure Craft/Sailing,call sign,0.1669,0.515,0.4708,0.4667,0.4502,0.31,0.4286,0,B,0.0046
CALLWDK7894_MMSI368275000,36,Pleasure Craft/Sailing,call sign,0.0158,0.505,0.4512,0.4712,0.4502,0.31,0.5,0,B,0.0046
CALLWDK7912_MMSI368089050,36,Pleasure Craft/Sailing,call sign,0.013,0.505,0.4119,0.4726,0.4502,0.2315,0.3,0,B,0.0046
CALLWDK7945_MMSI368089370,30,Fishing,call sign,0.1814,0.5125,0.6579,0.5079,0.9089,0.2891,0.3846,0.0,A,0.0046
CALLWDK7946_MMSI368089380,37,Pleasure Craft/Sailing,call sign,0.0222,0.5025,0.5414,0.5099,0.4502,0.69,0.2667,0,B,0.0046
CALLWDK7948_MMSI368089410,37,Pleasure Craft/Sailing,call sign,0.0903,0.5125,0.5195,0.4712,1.0,0.3543,0.3125,0,B,0.3401
CALLWDK8013_MMSI368090030,52,Unknown,call sign,0.5766,0.52,0.4512,0.4738,0.4502,0.0998,0,0.0,A,0.4972
CALLWDK8027_MMSI338251272,30,Fishing,call sign,0.1022,0.51,0.5698,0.4936,0.4502,0.2891,0.3846,0,B,0.3634
CALLWDK8028_MMSI368090160,30,Fishing,call sign,0.018,0.5075,0.4663,0.4694,0.4502,0.5,0.4091,0,B,0.3162
CALLWDK8051_MMSI368090380,37,Pleasure Craft/Sailing,call sign,0.0263,0.5075,0.7816,0.5271,0.5987,0.0998,0,0,B,0.3754
CALLWDK8084_MMSI368090690,37,Pleasure Craft/Sailing,call sign,0.0397,0.5075,0.6068,0.5284,0.4502,0.6457,0.2857,0,B,0.0046
CALLWDK8086_MMSI368090720,31,Tug Tow,call sign,0.308,0.5175,0.4455,0.4738,0.4502,0.475,0.381,0.0,A,0.5376
CALLWDK8102_MMSI368090850,31,Tug Tow,call sign,0.5627,0.52,0.4295,0.4731,0.4502,0.5,0.4091,2.2,A,0.4497
CALLWDK8143_MMSI368091240,30,Fishing,call sign,0.4737,0.515,0.3972,0.4767,0.4502,0.69,0.4,0,B,0.3531
CALLWDK8144_MMSI368091250,90,Other,call sign,0.0634,0.51,0.4066,0.4771,0.4502,0.0998,0,2.8,A,0.0046
CALLWDK8173_MMSI368091540,37,Pleasure Craft/Sailing,call sign,0.0233,0.5075,0.6563,0.507,0.475,0.4502,0.3,0,B,0.3902
CALLWDK8175_MMSI368091560,36,Pleasure Craft/Sailing,call sign,0.026,0.5075,0.4576,0.4711,0.525,0.31,0.5714,0,B,0.0046
CALLWDK8178_MMSI368091590,60,Passenger,call sign,0.3841,0.515,0.4514,0.4819,0.4502,0.0998,0,0.0,A,0.0046
CALLWDK8184_MMSI368091660,30,Fishing,call sign,0.003,0.5,0.5805,0.5078,0.4502,0.2315,0.4,0,B,0.0046
CALLWDK8225_MMSI368092080,37,Pleasure Craft/Sailing,call sign,0.014,0.5,0.4725,0.4713,0.8581,0.525,0.2609,0,B,0.0046
CALLWDK8231_MMSI368092130,36,Pleasure Craft/Sailing,call sign,0.0009,0.495,0.3953,0.4697,0.4502,0.2891,0.5385,0,B,0.3754
CALLWDK8240_MMSI368092210,36,Pleasure Craft/Sailing,call sign,0.0,0.495,0.3596,0.4667,0.4502,0.2689,0.6667,0,B,0.0046
CALLWDK8249_MMSI368092290,30,Fishing,call sign,0.1346,0.5125,0.4798,0.4949,0.4502,0.31,0.3571,0,B,0.1917
CALLWDK8285_MMSI368092650,52,Unknown,call sign,0.1993,0.5175,0.4808,0.4712,0.4502,0.3318,0.4667,0.0,A,0.0046
CALLWDK8299_MMSI368092790,31,Tug Tow,call sign,0.3805,0.5399,0.4698,0.4749,0.4502,0.4013,0.3889,0.0,A,0.5574
CALLWDK8301_MMSI368092820,37,Pleasure Craft/Sailing,call sign,0.0154,0.5025,0.4735,0.478,0.4502,0.5,0.2273,0,B,0.0046
CALLWDK8302_MMSI368092830,57,Other,call sign,0.2317,0.515,0.4626,0.4804,0.832,0.5,0.4091,2.7,A,0.5633
CALLWDK8303_MMSI368092840,57,Other,call sign,0.5786,0.52,0.4494,0.4786,0.7858,1.0,0.1301,3.0,A,0.5615
CALLWDK8305_MMSI368092860,57,Other,call sign,0.5454,0.5175,0.417,0.4734,0.4502,0.9999,0.2832,3.0,A,0.4549
CALLWDK8314_MMSI368092930,36,Pleasure Craft/Sailing,call sign,0.0327,0.5075,0.4251,0.4683,0.4502,0.2497,0.2727,0,B,0.0046
CALLWDK8325_MMSI368093040,52,Unknown,call sign,0.2787,0.5349,0.4295,0.4752,0.4502,0.5,0.2727,0,B,0.5495
CALLWDK8329_MMSI368093080,31,Tug Tow,call sign,0.0603,0.505,0.4076,0.4768,0.4502,0.6682,0.2414,0,B,0.0046
CALLWDK8336_MMSI368093160,36,Pleasure Craft/Sailing,call sign,0.1684,0.51,0.4236,0.4691,0.475,0.8808,0.3571,0,B,0.0046
