key,numeric type,string type,ID,time ratio,number of line segments,mean speed,standard deviation in speed,number of acceleration points,length,ratio of width to length,type of cargo,receiver class,number of neighbors
CALLWDG2554_MMSI367516810,37,Pleasure Craft/Sailing,call sign,0.0085,0.5,0.4076,0.4759,0.4502,0.2497,0.0,0,B,0.0046
CALLWDG2565_MMSI367516930,31,Tug Tow,call sign,0.3258,0.515,0.4273,0.4793,1.0,0.4502,0.35,0,A,0.0046
CALLWDG2585_MMSI367517140,30,Fishing,call sign,0.0627,0.5075,0.3913,0.4721,0.4502,0.4256,0.2632,0,B,0.1946
CALLWDG2587_MMSI367414000,37,Pleasure Craft/Sailing,call sign,0.0006,0.4975,0.3654,0.467,0.4502,0.5,0.0,0,B,0.0046
CALLWDG2633_MMSI367517630,31,Tug Tow,call sign,0.2632,0.51,0.4013,0.4777,0.6457,0.6457,0.0,0,A,0.0046
CALLWDG2643_MMSI367517730,31,Tug Tow,call sign,0.3109,0.5399,0.4243,0.4733,0.9309,0.5987,0.0,0,A,0.4699
CALLWDG2646_MMSI367517760,31,Tug Tow,call sign,0.0847,0.505,0.398,0.475,0.4502,0.3775,0.4118,0,A,0.3402
CALLWDG2647_MMSI367517770,31,Tug Tow,call sign,0.0422,0.505,0.4309,0.4804,0.4502,0.4502,0.35,0,A,0.0046
CALLWDG2649_MMSI367517790,31,Tug Tow,call sign,0.0925,0.5025,0.4234,0.4806,0.4502,0.4013,0.0,0,A,0.0046
CALLWDG2652_MMSI367517830,37,Pleasure Craft/Sailing,call sign,0.0537,0.51,0.4251,0.4751,0.7503,0.3543,0.0,0,B,0.3754
CALLWDG2696_MMSI367518290,31,Tug Tow,call sign,0.1345,0.5125,0.4588,0.4776,0.4502,0.1824,0.0,0,A,0.4073
CALLWDG2713_MMSI367518480,31,Tug Tow,call sign,0.0958,0.5075,0.4151,0.4727,0.4502,0.1824,0.0,0,B,0.0046
CALLWDG2731_MMSI367518670,31,Tug Tow,call sign,0.1607,0.515,0.4423,0.472,0.4502,0.5987,0.3462,0,A,0.308
CALLWDG2733_MMSI367518690,37,Pleasure Craft/Sailing,call sign,0.044,0.5075,0.503,0.4691,0.4502,0.3775,0.0,0,B,0.0046
CALLWDG2741_MMSI367518780,0,Unknown,call sign,0.3565,0.5175,0.5217,0.4998,0.4502,0.4502,0.3,0.0,A,0.0046
CALLWDG2772_MMSI367001070,31,Tug Tow,call sign,0.301,0.5125,0.4507,0.487,0.4502,0.4013,0.2778,0,A,0.5217
CALLWDG2778_MMSI367519170,31,Tug Tow,call sign,0.0,0.495,0.3752,0.4656,0.4502,0.5744,0.0,0,A,0.0046
CALLWDG2789_MMSI367519290,31,Tug Tow,call sign,0.0737,0.5125,0.4324,0.4741,0.4502,0.3543,0.375,0,A,0.0046
CALLWDG2791_MMSI367519320,31,Tug Tow,call sign,0.6277,0.5175,0.4124,0.48,0.4502,0.525,0.0,0,A,0.0046
CALLWDG2797_MMSI367519380,37,Pleasure Craft/Sailing,call sign,0.0308,0.51,0.4388,0.4741,0.4502,0.2689,0.0,0,B,0.0046
CALLWDG2850_MMSI367519920,31,Tug Tow,call sign,0.3175,0.515,0.4361,0.4739,0.4502,0.4502,0.4,0,A,0.5039
CALLWDG2884_MMSI367520270,31,Tug Tow,call sign,0.5959,0.5963,0.4329,0.4712,0.9002,0.6682,0.0,0,A,0.3355
CALLWDG2894_MMSI338554000,37,Pleasure Craft/Sailing,call sign,0.0232,0.505,0.443,0.4751,0.4502,0.6225,0.2222,0,B,0.0046
CALLWDG2963_MMSI367521060,37,Pleasure Craft/Sailing,call sign,0.02,0.5075,0.426,0.4737,0.4502,0.2891,0.0,0,B,0.0046
CALLWDG3008_MMSI367521510,31,Tug Tow,call sign,0.3728,0.515,0.3989,0.4789,0.4502,0.475,0.0,0,A,0.0046
CALLWDG3030_MMSI367521740,31,Tug Tow,call sign,0.6887,0.5175,0.4363,0.4819,0.4502,0.3775,0.0,0,A,0.0046
CALLWDG3035_MMSI367521790,31,Tug Tow,call sign,0.1594,0.5125,0.442,0.4786,0.4502,0.2689,0.0,0,A,0.0046
CALLWDG3036_MMSI367521810,31,Tug Tow,call sign,0.0408,0.5,0.3841,0.4743,0.4502,0.3775,0.0,0,A,0.0046
CALLWDG3046_MMSI367521920,31,Tug Tow,call sign,0.0135,0.5025,0.4723,0.4858,0.4502,0.4256,0.0,0,A,0.0046
CALLWDG3070_MMSI367522170,31,Tug Tow,call sign,0.5965,0.5175,0.426,0.476,0.69,0.9309,0.25,0,A,0.2041
CALLWDG3071_MMSI367522180,31,Tug Tow,call sign,0.6568,0.5671,0.4492,0.4789,0.9734,0.9309,0.25,0,A,0.3398
CALLWDG3073_MMSI367522210,31,Tug Tow,call sign,0.6824,0.5744,0.4452,0.4771,0.7858,0.9309,0.25,0,A,0.374
CALLWDG3075_MMSI367522230,31,Tug Tow,call sign,0.6029,0.5175,0.4243,0.4736,0.9002,0.9309,0.25,0,A,0.4149
CALLWDG3076_MMSI367522240,31,Tug Tow,call sign,0.3913,0.5349,0.4611,0.4807,0.8176,0.9309,0.25,0,A,0.423
CALLWDG3094_MMSI367522430,31,Tug Tow,call sign,0.4812,0.5125,0.4305,0.4824,0.4502,0.4013,0.0,0,A,0.0046
CALLWDG3135_MMSI367522850,31,Tug Tow,call sign,0.6994,0.52,0.4035,0.4696,0.6457,0.9309,0.25,0,A,0.4007
CALLWDG3141_MMSI367522920,31,Tug Tow,call sign,0.3299,0.5125,0.4061,0.4772,0.4502,0.3318,0.0,0,A,0.0046
CALLWDG3165_MMSI367523170,31,Tug Tow,call sign,0.0264,0.505,0.4047,0.478,0.4502,0.4013,0.0,0,A,0.0046
CALLWDG3181_MMSI367523350,31,Tug Tow,call sign,0.6293,0.52,0.4025,0.4699,0.4502,0.8581,0.0,0,A,0.412
CALLWDG3194_MMSI338143481,30,Fishing,call sign,0.0399,0.5,0.3548,0.4724,0.4502,0.4013,0.3333,0,B,0.0046
CALLWDG3196_MMSI367523490,37,Pleasure Craft/Sailing,call sign,0.0119,0.505,0.3989,0.4727,0.9478,0.31,0.0,0,B,0.0046
CALLWDG3213_MMSI367523680,0,Unknown,call sign,0.0124,0.5025,0.4076,0.4754,0.4502,0.0998,0,0,B,0.0046
CALLWDG3228_MMSI367523850,31,Tug Tow,call sign,0.0658,0.51,0.4165,0.4795,1.0,0.4013,0.0,0,A,0.0046
CALLWDG3252_MMSI367524110,31,Tug Tow,call sign,0.239,0.515,0.4445,0.4744,0.8022,0.4013,0.3889,0,A,0.5091
CALLWDG3254_MMSI367539150,60,Passenger,call sign,0.0096,0.5025,0.6617,0.4956,0.4502,0.3543,0.3125,0,B,0.0046
CALLWDG3255_MMSI367524140,37,Pleasure Craft/Sailing,call sign,0.0061,0.5025,0.4383,0.4724,0.4502,0.3318,0.0,0,B,0.0046
CALLWDG3263_MMSI367524230,90,Other,call sign,0.0046,0.5,0.3482,0.4669,0.4502,0.69,0.0,0,B,0.3928
CALLWDG3264_MMSI367524240,31,Tug Tow,call sign,0.3702,0.5175,0.4295,0.4747,0.9644,0.475,0.0,0,A,0.5746
CALLWDG3267_MMSI367524270,31,Tug Tow,call sign,0.3087,0.5175,0.4124,0.4714,0.4502,0.4502,0.0,0,A,0.5008
CALLWDG3270_MMSI367524290,37,Pleasure Craft/Sailing,call sign,0.2853,0.51,0.4913,0.4676,0.525,0.4013,0.0,0,B,0.0046
CALLWDG3281_MMSI367524420,31,Tug Tow,call sign,0.4045,0.5175,0.4336,0.4751,0.4502,0.475,0.0,0,A,0.5284
CALLWDG3292_MMSI367524540,37,Pleasure Craft/Sailing,call sign,0.0453,0.51,0.4588,0.4777,0.8909,0.31,0.0,0,B,0.0046
CALLWDG3304_MMSI367524670,37,Pleasure Craft/Sailing,call sign,0.0005,0.4975,0.8416,0.4626,0.4502,0.525,0.0,0,B,0.0046
CALLWDG3305_MMSI367524680,31,Tug Tow,call sign,0.6299,0.515,0.402,0.4774,0.4502,0.475,0.0,0,A,0.0046
CALLWDG3307_MMSI367524710,31,Tug Tow,call sign,0.0211,0.4975,0.4524,0.4858,0.4502,0.4013,0.0,0,A,0.0046
CALLWDG3312_MMSI367524750,37,Pleasure Craft/Sailing,call sign,0.1213,0.5125,0.4383,0.47,0.4502,0.2497,0.0,0,B,0.402
CALLWDG3345_MMSI367525060,31,Tug Tow,call sign,0.1621,0.515,0.4368,0.4732,0.4502,0.6682,0.0,0,A,0.5071
CALLWDG3373_MMSI367525360,31,Tug Tow,call sign,0.1111,0.5125,0.4708,0.4746,0.4502,0.69,0.0,0,A,0.2041
CALLWDG3408_MMSI367525740,31,Tug Tow,call sign,0.83,0.515,0.4209,0.4733,0.4502,0.5744,0.0,0,A,0.4139
CALLWDG3449_MMSI367526150,37,Pleasure Craft/Sailing,call sign,0.0015,0.5,0.4088,0.4809,0.525,0.4502,0.0,0,B,0.0046
CALLWDG3450_MMSI367526160,31,Tug Tow,call sign,0.6061,0.515,0.4119,0.4788,0.4502,0.4256,0.0,0,A,0.0046
CALLWDG3460_MMSI367526270,30,Fishing,call sign,0.282,0.5175,0.4344,0.4741,0.4502,0.2891,0.3077,0,B,0.4145
CALLWDG3472_MMSI367526390,60,Passenger,call sign,0.0548,0.51,0.4059,0.4727,0.4502,0.4013,0.4444,0,A,0.0046
CALLWDG3475_MMSI367526430,37,Pleasure Craft/Sailing,call sign,0.0272,0.5075,0.4695,0.4747,0.4502,0.2689,0.3333,0,B,0.0046
CALLWDG3480_MMSI367526480,37,Pleasure Craft/Sailing,call sign,0.0879,0.5125,0.4541,0.478,0.5,0.2315,0.6,0,B,0.0046
CALLWDG3486_MMSI367526550,31,Tug Tow,call sign,0.5857,0.5399,0.4078,0.4736,0.4502,0.525,0.0,0,A,0.1816
CALLWDG3488_MMSI367526570,31,Tug Tow,call sign,0.1706,0.5075,0.4011,0.4785,0.4502,0.4502,0.0,0,A,0.0046
CALLWDG3490_MMSI367526590,31,Tug Tow,call sign,0.3776,0.5175,0.3832,0.4702,0.7311,0.4502,0.35,0,A,0.5465
CALLWDG3492_MMSI367526620,31,Tug Tow,call sign,0.128,0.5125,0.4432,0.4809,0.4502,0.4013,0.3333,0,A,0.0046
CALLWDG3504_MMSI367526740,31,Tug Tow,call sign,0.2121,0.515,0.4207,0.4715,0.6225,0.5498,0.0,0,A,0.5594
CALLWDG3535_MMSI367527050,60,Passenger,call sign,0.0188,0.5075,0.5412,0.4766,0.4502,0.69,0.0,0,A,0.3577
CALLWDG3550_MMSI367527220,60,Passenger,call sign,0.5857,0.5175,0.5528,0.4954,0.4502,0.2891,0.3077,0,A,0.0046
CALLWDG3566_MMSI366834160,60,Passenger,call sign,0.3407,0.5175,0.6671,0.5299,0.4502,0.4256,0.2632,0,A,0.0046
CALLWDG3619_MMSI367527930,0,Unknown,call sign,0.2556,0.5125,0.677,0.5262,0.4502,0.0998,0,0,A,0.0046
CALLWDG3628_MMSI367528030,30,Fishing,call sign,0.0447,0.5075,0.5272,0.4744,0.4502,0.4256,0.3158,0,B,0.3001
CALLWDG3632_MMSI367528070,31,Tug Tow,call sign,0.632,0.5175,0.4209,0.473,0.8022,0.4256,0.3684,0,A,0.5124
CALLWDG3635_MMSI367528110,31,Tug Tow,call sign,0.6827,0.52,0.419,0.4735,0.9089,0.475,0.381,0,A,0.4789
CALLWDG3664_MMSI367528420,31,Tug Tow,call sign,0.3363,0.515,0.3939,0.4711,1.0,0.6682,0.3448,0,A,0.3245
CALLWDG3702_MMSI367528810,60,Passenger,call sign,0.0466,0.51,0.4124,0.4745,0.4502,0.5,0.2727,0,A,0.0046
CALLWDG3727_MMSI367529030,0,Unknown,call sign,0.6278,0.5175,0.5414,0.4912,0.4502,0.4256,0.0,0,A,0.0046
CALLWDG3739_MMSI367529150,31,Tug Tow,call sign,0.4152,0.5175,0.4386,0.4748,0.9002,0.525,0.0,0,A,0.4808
CALLWDG3768_MMSI367529450,30,Fishing,call sign,0.2151,0.515,0.4823,0.4867,0.9998,0.5498,0.2917,0,B,0.3715
CALLWDG3804_MMSI367529820,37,Pleasure Craft/Sailing,call sign,0.1556,0.515,0.4465,0.4737,0.4502,0.2689,0.0,0,B,0.3927
CALLWDG3813_MMSI367529920,30,Fishing,call sign,0.3282,0.515,0.3996,0.4786,0.4502,0.4256,0.0,0,B,0.352
CALLWDG3815_MMSI367529940,31,Tug Tow,call sign,0.0281,0.5,0.4241,0.4766,0.7311,0.3543,0.0,0,B,0.0046
CALLWDG3843_MMSI367530230,31,Tug Tow,call sign,0.6025,0.5175,0.4047,0.4712,0.4502,0.7503,0.0,0,A,0.209
CALLWDG3847_MMSI367530270,37,Pleasure Craft/Sailing,call sign,0.0019,0.495,0.4226,0.4796,0.4502,0.31,0.2857,0,B,0.0046
CALLWDG3864_MMSI367530460,30,Fishing,call sign,0.0117,0.5025,0.5852,0.511,0.4502,0.4256,0.3158,0,B,0.0046
CALLWDG3865_MMSI367530470,31,Tug Tow,call sign,0.24,0.5175,0.469,0.473,0.4502,0.3775,0.0,0,A,0.5366
CALLWDG3868_MMSI367530510,37,Pleasure Craft/Sailing,call sign,0.0973,0.5125,0.4918,0.4713,0.4502,0.3775,0.2941,0,A,0.0046
CALLWDG3876_MMSI367530590,31,Tug Tow,call sign,0.292,0.5175,0.4134,0.4718,0.4502,0.4502,0.0,0,A,0.5414
CALLWDG3892_MMSI367530760,31,Tug Tow,call sign,0.7314,0.52,0.4018,0.4729,0.4502,0.9608,0.2778,0,A,0.4144
CALLWDG3894_MMSI367387070,37,Pleasure Craft/Sailing,call sign,0.0088,0.5025,0.4452,0.4738,0.5,0.2891,0.3077,0,B,0.0046
CALLWDG3928_MMSI367531110,90,Other,call sign,0.0492,0.5,0.3879,0.4888,0.4502,0.3775,0.2941,0,B,0.3694
CALLWDG3950_MMSI367531350,30,Fishing,call sign,0.5272,0.5175,0.4236,0.4778,0.4502,0.31,0.0,0,B,0.2677
CALLWDG3974_MMSI367531620,37,Pleasure Craft/Sailing,call sign,0.0509,0.5075,0.4601,0.4718,0.4502,0.31,0.0,0,B,0.0046
CALLWDG3977_MMSI367531650,0,Unknown,call sign,0.0213,0.5075,0.7818,0.5473,0.4502,0.0998,0,0,A,0.5217
CALLWDG3979_MMSI367531670,0,Unknown,call sign,0.0359,0.5075,0.6932,0.5676,0.4502,0.0998,0,0,A,0.5217
CALLWDG3981_MMSI367531690,0,Unknown,call sign,0.0549,0.51,0.657,0.556,0.4502,0.0998,0,0,A,0.5217
CALLWDG3982_MMSI367531710,0,Unknown,call sign,0.1226,0.5125,0.7412,0.5522,0.4502,0.0998,0,0,A,0.5217
CALLWDG3984_MMSI367531730,0,Unknown,call sign,0.0008,0.4975,0.7095,0.5556,0.4502,0.0998,0,0,A,0.0046
CALLWDG3985_MMSI367531740,90,Other,call sign,0.0184,0.505,0.763,0.5453,0.4502,0.0998,0,0,A,0.0046
CALLWDG3990_MMSI367531790,70,Cargo,call sign,0.4151,0.5175,0.4241,0.4741,0.9837,0.5498,0.375,0,A,0.5746
CALLWDG4063_MMSI367532570,31,Tug Tow,call sign,0.466,0.515,0.4192,0.4766,0.4502,0.4256,0.0,0,A,0.0046
CALLWDG4070_MMSI367532640,31,Tug Tow,call sign,0.0134,0.505,0.3977,0.4681,0.4502,0.1824,0.0,0,B,0.0046
CALLWDG4082_MMSI367532770,30,Fishing,call sign,0.0417,0.51,0.52,0.4909,0.4502,0.2891,0.0,0,B,0.0046
CALLWDG4117_MMSI367533150,31,Tug Tow,call sign,0.1829,0.515,0.445,0.4765,0.6682,0.9608,0.2778,0,A,0.5594
CALLWDG4134_MMSI367533330,37,Pleasure Craft/Sailing,call sign,0.1836,0.505,0.3675,0.4892,0.4502,0.3318,0.0,0,B,0.0046
CALLWDG4144_MMSI367533440,37,Pleasure Craft/Sailing,call sign,0.0138,0.505,0.4312,0.4696,0.4502,0.2689,0.25,0,B,0.3783
CALLWDG4152_MMSI367533530,30,Fishing,call sign,0.0784,0.5075,0.4037,0.4852,0.4502,0.2689,0.0,0,B,0.0046
CALLWDG4154_MMSI367533550,37,Pleasure Craft/Sailing,call sign,0.0162,0.5025,0.4221,0.4672,0.4502,0.31,0.0,0,B,0.0046
CALLWDG4175_MMSI367533780,31,Tug Tow,call sign,0.1585,0.5125,0.4536,0.4796,0.4502,0.5987,0.0,0,A,0.0046
CALLWDG4190_MMSI367533940,31,Tug Tow,call sign,0.2386,0.5125,0.4544,0.478,0.9168,0.525,0.4348,0,A,0.5746
CALLWDG4196_MMSI367534010,31,Tug Tow,call sign,0.1714,0.515,0.48,0.4766,0.6682,0.6225,0.0,0,A,0.5375
CALLWDG4220_MMSI367534250,90,Other,call sign,0.0064,0.495,0.4282,0.4843,0.4502,0.3543,0.0,0,B,0.0046
CALLWDG4224_MMSI367534290,37,Pleasure Craft/Sailing,call sign,0.1572,0.5125,0.4564,0.4697,0.4502,0.2497,0.2727,0,B,0.3803
CALLWDG4229_MMSI367317960,37,Pleasure Craft/Sailing,call sign,0.0291,0.5075,0.4148,0.4718,0.5744,0.2497,0.3636,0,B,0.0046
CALLWDG4235_MMSI367534410,37,Pleasure Craft/Sailing,call sign,0.0137,0.5025,0.4517,0.4787,0.5744,0.3318,0.0,0,B,0.0046
CALLWDG4261_MMSI367534680,31,Tug Tow,call sign,0.2181,0.515,0.4526,0.4777,0.9309,0.5744,0.0,0,A,0.5746
CALLWDG4262_MMSI367534690,31,Tug Tow,call sign,0.3308,0.5175,0.4253,0.4723,0.6457,0.5744,0.0,0,A,0.3828
CALLWDG4275_MMSI367534840,31,Tug Tow,call sign,0.4091,0.5424,0.4256,0.474,0.9478,0.5744,0.36,0,A,0.537
CALLWDG4279_MMSI367005060,37,Pleasure Craft/Sailing,call sign,0.3082,0.5175,0.442,0.4714,0.5498,0.2891,0.4615,0,B,0.4227
CALLWDG4280_MMSI367534880,31,Tug Tow,call sign,0.6072,0.5125,0.3977,0.4795,0.4502,0.4256,0.0,0,A,0.0046
CALLWDG4282_MMSI367534910,90,Other,call sign,0.0535,0.51,0.4725,0.5204,0.475,0.3775,0.0,0,A,0.3715
CALLWDG4290_MMSI367534980,60,Passenger,call sign,0.1396,0.5125,0.5771,0.4909,0.4502,0.31,0.2857,0,B,0.4267
CALLWDG4318_MMSI367535290,31,Tug Tow,call sign,0.5954,0.5175,0.4018,0.4703,0.69,0.9677,0.2321,0,A,0.3908
CALLWDG4332_MMSI367535450,31,Tug Tow,call sign,0.2262,0.515,0.4393,0.4719,0.4502,0.4502,0.35,0,A,0.0046
CALLWDG4360_MMSI367535750,37,Pleasure Craft/Sailing,call sign,0.0227,0.505,0.4373,0.4772,0.4502,0.3775,0.0,0,B,0.0046
CALLWDG4440_MMSI367536590,31,Tug Tow,call sign,0.4205,0.515,0.4278,0.4761,0.6457,0.525,0.0,0,A,0.4884
CALLWDG4449_MMSI367536660,31,Tug Tow,call sign,0.2192,0.515,0.4243,0.4747,0.4502,0.7311,0.0,0,A,0.308
CALLWDG4486_MMSI367537060,37,Pleasure Craft/Sailing,call sign,0.0003,0.495,0.4037,0.4669,0.4502,0.4256,0.0,0,B,0.0046
CALLWDG4487_MMSI367537070,60,Passenger,call sign,0.4283,0.515,0.6004,0.4989,0.99,0.31,0.0,0,A,0.0046
CALLWDG4539_MMSI367537630,31,Tug Tow,call sign,0.1725,0.5125,0.3941,0.4727,1.0,0.1824,0.0,0,B,0.0046
CALLWDG4546_MMSI367537710,31,Tug Tow,call sign,0.3697,0.5325,0.4148,0.472,0.4502,0.525,0.0,0,A,0.5505
CALLWDG4552_MMSI367537770,31,Tug Tow,call sign,0.2053,0.51,0.409,0.4807,0.4502,0.3318,0.0,0,A,0.2769
CALLWDG4599_MMSI367538260,30,Fishing,call sign,0.3696,0.515,0.4646,0.4727,1.0,0.0998,0,0,B,0.4169
CALLWDG4631_MMSI367308110,60,Passenger,call sign,0.0033,0.5,0.5958,0.502,0.4502,0.4013,0.2778,0,A,0.0046
CALLWDG4641_MMSI367538650,30,Fishing,call sign,0.0661,0.51,0.4489,0.4804,0.69,0.4502,0.0,0,B,0.4331
CALLWDG4647_MMSI367538710,0,Unknown,call sign,0.1065,0.5125,0.6154,0.5162,1.0,0.0998,0,0,A,0.0046
CALLWDG4681_MMSI367539060,31,Tug Tow,call sign,0.3416,0.5175,0.4965,0.4805,0.7685,0.525,0.3913,0,A,0.4457
CALLWDG4690_MMSI367539140,31,Tug Tow,call sign,0.689,0.5325,0.4059,0.4724,0.5498,0.9309,0.25,0,A,0.3582
CALLWDG4720_MMSI367539420,90,Other,call sign,0.0177,0.505,0.382,0.4691,0.4502,0.3543,0.4375,0,B,0.0046
CALLWDG4759_MMSI367539810,31,Tug Tow,call sign,0.1368,0.5125,0.4161,0.4764,0.5987,0.5987,0.0,0,A,0.0046
CALLWDG4779_MMSI367540020,37,Pleasure Craft/Sailing,call sign,0.0502,0.505,0.4775,0.5181,0.4502,0.0998,0,0,B,0.0046
CALLWDG4781_MMSI367540040,60,Passenger,call sign,0.0134,0.5075,0.4329,0.4779,0.6225,0.7503,0.1818,0,A,0.0046
CALLWDG4811_MMSI367540360,90,Other,call sign,0.1325,0.51,0.4246,0.4768,0.4502,0.2689,0.4167,0.0,A,0.0046
CALLWDG4816_MMSI367540420,60,Passenger,call sign,0.0349,0.5075,0.4601,0.4746,0.4502,0.4502,0.4,0,B,0.0046
CALLWDG4849_MMSI338342000,36,Pleasure Craft/Sailing,call sign,0.0138,0.5025,0.4341,0.4765,0.4502,0.4502,0.2,0,B,0.3754
CALLWDG4891_MMSI367541160,31,Tug Tow,call sign,0.3949,0.5175,0.4725,0.4809,0.4502,0.5498,0.0,0,A,0.4179
CALLWDG4908_MMSI367541350,31,Tug Tow,call sign,0.346,0.515,0.4234,0.4775,0.4502,0.3543,0.0,0,A,0.0046
CALLWDG4910_MMSI367541370,31,Tug Tow,call sign,0.3206,0.5125,0.4001,0.476,0.4502,0.31,0.0,0,A,0.0046
CALLWDG4938_MMSI367541650,37,Pleasure Craft/Sailing,call sign,0.0793,0.51,0.4391,0.4785,0.7858,0.0998,0,0,B,0.0046
CALLWDG4942_MMSI367541690,31,Tug Tow,call sign,0.6,0.5125,0.4008,0.4808,0.4502,0.4256,0.0,0,A,0.0046
CALLWDG4952_MMSI367541790,31,Tug Tow,call sign,0.0191,0.505,0.3867,0.4748,0.4502,0.4013,0.0,0,A,0.0046
CALLWDG4974_MMSI367541980,31,Tug Tow,call sign,0.5925,0.5449,0.4004,0.4721,0.4502,0.5,0.0,0,A,0.5333
CALLWDG5004_MMSI367542320,31,Tug Tow,call sign,0.1576,0.5125,0.4256,0.4756,0.4502,0.5987,0.0,0,A,0.0046
CALLWDG5011_MMSI367542390,31,Tug Tow,call sign,0.0128,0.5025,0.3946,0.4768,0.4502,0.4256,0.3158,0,A,0.0046
CALLWDG5013_MMSI367542420,31,Tug Tow,call sign,0.2998,0.515,0.4675,0.4771,0.4502,0.3318,0.4,0,A,0.5578
CALLWDG5016_MMSI367530120,30,Fishing,call sign,0.2567,0.51,0.3882,0.4778,0.4502,0.3775,0.3529,0,B,0.0046
CALLWDG5036_MMSI367542650,0,Unknown,call sign,0.5504,0.515,0.7579,0.5357,0.4502,0.0998,0,0,A,0.0046
CALLWDG5049_MMSI367542760,31,Tug Tow,call sign,0.4907,0.5646,0.4386,0.4754,0.9309,0.5,0.0,0,A,0.5468
CALLWDG5051_MMSI316002721,30,Fishing,call sign,0.0779,0.51,0.4564,0.4773,0.7858,0.4502,0.3,0,B,0.0046
CALLWDG5087_MMSI367543160,30,Fishing,call sign,0.0028,0.5,0.4571,0.4776,0.4502,0.4256,0.4211,0,B,0.0046
CALLWDG5108_MMSI367543390,31,Tug Tow,call sign,0.3549,0.5175,0.4467,0.4735,0.7685,0.4502,0.0,0,A,0.4777
CALLWDG5117_MMSI367543490,37,Pleasure Craft/Sailing,call sign,0.0122,0.5025,0.4199,0.4743,0.4502,0.2689,0.0,0,B,0.0046
CALLWDG5145_MMSI367543760,36,Pleasure Craft/Sailing,call sign,0.1908,0.515,0.4489,0.4722,0.4502,0.31,0.2857,0,B,0.3926
CALLWDG5149_MMSI367543810,31,Tug Tow,call sign,0.5653,0.5175,0.4165,0.4785,0.4502,0.4013,0.0,0,A,0.2769
CALLWDG5155_MMSI367543870,31,Tug Tow,call sign,0.179,0.5125,0.4256,0.4807,0.4502,0.3318,0.0,0,A,0.0046
CALLWDG5158_MMSI367543910,31,Tug Tow,call sign,0.645,0.5175,0.4224,0.4765,0.4502,0.5498,0.0,0,A,0.2282
CALLWDG5175_MMSI367544060,31,Tug Tow,call sign,0.1837,0.51,0.4144,0.4789,0.4502,0.7311,0.0,0,A,0.0046
CALLWDG5176_MMSI367544070,60,Passenger,call sign,0.0747,0.5025,0.6737,0.5378,0.4502,0.2315,0.0,0,B,0.0046
CALLWDG5186_MMSI367544180,30,Fishing,call sign,0.2413,0.515,0.4477,0.4829,0.4502,0.4013,0.0,0,A,0.0046
CALLWDG5221_MMSI367544550,31,Tug Tow,call sign,0.1104,0.5125,0.4512,0.481,0.4502,0.9168,0.3913,0.0,A,0.0046
CALLWDG5246_MMSI366889000,60,Passenger,call sign,0.2739,0.515,0.6118,0.4974,0.4502,0.6457,0.2143,0,A,0.0046
CALLWDG5247_MMSI366687000,60,Passenger,call sign,0.1621,0.51,0.521,0.4801,0.9918,0.6682,0.2414,0,A,0.0046
CALLWDG5249_MMSI338345000,60,Passenger,call sign,0.2002,0.515,0.6177,0.4911,0.4502,0.7311,0.2188,0.0,A,0.0046
CALLWDG5253_MMSI366812000,90,Other,call sign,0.0758,0.5125,0.5382,0.4753,0.4502,0.69,0.2333,0,A,0.4277
CALLWDG5257_MMSI303261000,60,Passenger,call sign,0.0162,0.505,0.4905,0.4879,0.4502,0.4013,0.2778,0,A,0.0046
CALLWDG5258_MMSI368611000,90,Other,call sign,0.0682,0.5125,0.529,0.4811,0.4502,0.7311,0.2188,0,A,0.0046
CALLWDG5261_MMSI338253000,60,Passenger,call sign,0.1159,0.5125,0.499,0.4857,0.4502,0.69,0.2333,0,A,0.0046
CALLWDG5273_MMSI367544950,31,Tug Tow,call sign,0.5011,0.5125,0.4403,0.4768,0.69,0.7858,0.0,0,A,0.4674
CALLWDG5276_MMSI367544960,31,Tug Tow,call sign,0.2134,0.515,0.4519,0.4729,0.4502,0.5,0.0,0,A,0.4884
CALLWDG5277_MMSI367544970,31,Tug Tow,call sign,0.2638,0.515,0.4246,0.4798,0.4502,0.5,0.0,0,A,0.0046
CALLWDG5328_MMSI367545540,31,Tug Tow,call sign,0.0312,0.5025,0.4032,0.4765,0.4502,0.4256,0.0,0,A,0.0046
CALLWDG5384_MMSI367546090,31,Tug Tow,call sign,0.1722,0.5125,0.4628,0.4766,0.4502,0.3775,0.3529,0,A,0.5217
CALLWDG5395_MMSI367546210,37,Pleasure Craft/Sailing,call sign,0.011,0.5025,0.4037,0.4721,0.4502,0.2315,0.0,0,B,0.0046
CALLWDG5405_MMSI367546320,90,Other,call sign,0.0166,0.5075,0.642,0.5334,0.5,0.3775,0.0,0,A,0.3715
CALLWDG5417_MMSI367546450,31,Tug Tow,call sign,0.021,0.5,0.3846,0.4753,0.4502,0.31,0.0,0,A,0.0046
CALLWDG5456_MMSI367546860,31,Tug Tow,call sign,0.4174,0.5175,0.4236,0.4786,0.4502,0.3543,0.0,0,A,0.4208
CALLWDG5458_MMSI367546880,31,Tug Tow,call sign,0.4124,0.515,0.4611,0.482,0.8909,0.4013,0.4444,0,A,0.5746
CALLWDG5459_MMSI367546890,31,Tug Tow,call sign,0.7864,0.5175,0.4344,0.4824,0.4502,0.4256,0.0,0,A,0.0046
