CALL7DM2613_MMSI368189830,36,0,0,,B
CALL861481_MMSI503033280,36,14,7,,B
CALL8675309_MMSI338926918,0,0,0,0.0,A
CALL8675309_MMSI338926927,0,0,0,0.0,A
CALL8675309_MMSI338926972,51,8,3,1.0,A
CALL8675309_MMSI368926385,0,0,0,0.0,A
CALL8675309_MMSI369990429,0,0,0,1.0,A
CALL8675309_MMSI369990465,0,0,0,0.0,A
CALL9AA3578_MMSI238303040,36,12,7,,B
CALL9HB3491_MMSI229497000,37,32,7,,B
CALL9HB5359_MMSI215000629,37,25,6,,B
CALL9HB6508_MMSI215076000,37,35,8,,B
CALL9HB6675_MMSI215313000,37,32,8,,B
CALL9HB6679_MMSI229000821,37,22,5,,B
CALL9HB6719_MMSI256001191,37,12,4,,B
CALL9HB7109_MMSI215674000,36,23,10,,B
CALL9HXC9_MMSI982496661,37,22,22,,B
CALL9HXC9_MMSI982496663,37,22,22,,B
CALL9HXC9_MMSI982496664,37,22,22,,B
CALL9HXC9_MMSI982496665,37,22,22,,B
CALL9MSJ7_MMSI533130964,36,19,9,,B
CALL9MTE2_MMSI533130187,36,,,,B
CALL9MXY9_MMSI533130512,36,14,8,,B
CALLA794000_MMSI983397940,37,8,3,,B
CALLA9D3436_MMSI408886000,33,65,13,,B
CALLAAAAAAA_MMSI100000001,99,6,14,0.0,A
CALLAABBCC_MMSI228376700,79,22,6,4.2,A
CALLAADT_MMSI368794000,90,53,0,,A
CALLAAEA_MMSI368792000,90,,,,A
CALLAAED_MMSI368728000,90,76,,,A
CALLAAEE_MMSI368729000,90,76,,,A
CALLAAEF_MMSI368806000,90,76,18,,A
CALLAAFA_MMSI366999404,70,0,0,0.0,A
CALLAAGF_MMSI369970512,35,22,6,,B
CALLAAGI_MMSI369970513,35,22,7,,B
CALLAAHV_MMSI369970891,90,,,,A
CALLABACO_MMSI338330025,37,21,6,,B
CALLABC1234_MMSI338361843,37,13,4,,B
CALLABC123_MMSI338376145,36,19,8,,B
CALLABCD_MMSI338389013,37,20,6,,B
CALLABSEAS_MMSI338330257,37,12,5,,B
CALLADMU_MMSI368789000,90,,,,A
CALLADMZ_MMSI366957000,90,,,,A
CALLADSV_MMSI368727000,90,78,18,,A
CALLADTG_MMSI368720000,90,,,,A
CALLAEAB_MMSI366999267,31,42,12,,A
CALLAEAE_MMSI369970656,31,41,10,2.7,A
CALLAEAF_MMSI369970500,90,,,,B
CALLAEAG_MMSI369970499,90,,,,B
CALLAEAJ_MMSI366999333,90,,,,A
CALLAEAP_MMSI368926277,35,0,0,0.0,A
CALLAEBF_MMSI369970725,90,45,,,A
CALLAEBL_MMSI369970369,31,,,,A
CALLAEBV_MMSI369970329,90,,,,A
CALLAECY_MMSI366999450,31,27,11,,A
CALLAEDT_MMSI368756000,90,,,,A
CALLAEDY_MMSI366999422,,,,,A
CALLAEEA_MMSI366999412,90,37,,,A
CALLAEEB_MMSI369997000,31,51,0,,A
CALLAEEI_MMSI369853000,90,19,,,A
CALLAEEO_MMSI369970379,90,23,7,,A
CALLAEFM_MMSI361111111,31,28,12,2.2,A
CALLAEFN_MMSI369970592,37,,,,B
CALLAEFO_MMSI366999275,90,,,,A
CALLAEGC_MMSI369970441,90,,,,A
CALLAEGD_MMSI366999309,90,,,,B
CALLAEGG_MMSI366999302,90,,,,A
CALLAEGP_MMSI369970566,90,,,,A
CALLAEHB_MMSI369970330,31,16,5,2.0,A
CALLAEHG_MMSI369970434,90,,,,A
CALLAEHO_MMSI369970443,31,19,7,,A
CALLAEHP_MMSI369970438,31,,,,A
CALLAEHT_MMSI366999402,90,33,,,A
CALLAEHV_MMSI366999407,90,,,,B
CALLAEIO_MMSI369970472,31,22,10,,A
CALLAEIQ_MMSI369970473,31,17,6,,A
CALLAEIV_MMSI369970471,31,23,9,,A
CALLAEJF_MMSI369970476,90,17,,,A
CALLAEJG_MMSI369970475,90,,,,A
CALLAEJS_MMSI366999327,35,20,6,,B
CALLAEKE_MMSI369970502,90,,,,A
CALLAEKJ_MMSI366999409,31,,,,A
CALLAEKK_MMSI366999332,90,25,9,,A
CALLAELA_MMSI369970558,90,,,,A
CALLAELE_MMSI369970571,90,45,,,A
CALLAELL_MMSI369970373,90,,,,A
CALLAELO_MMSI368926278,31,17,6,,B
CALLAELQ_MMSI368926285,49,0,0,0.0,A
CALLAEMB_MMSI368926294,35,18,7,0.0,A
CALLAEMF_MMSI369970622,,12,,,A
CALLAEMI_MMSI366999387,90,,,,A
CALLAEMK_MMSI369970630,,,,,A
CALLAEMN_MMSI369970628,,,,,A
CALLAEMO_MMSI369852000,90,,,,A
CALLAEMV_MMSI368926022,,,,,A
CALLAEMZ_MMSI366999282,31,,,,A
CALLAENA_MMSI368926035,,,,,A
CALLAENB_MMSI368926036,31,,,,A
CALLAENC_MMSI368926400,35,10,3,,B
CALLAENJ_MMSI369970657,,34,10,,A
CALLAENT_MMSI369970759,33,,,,B
CALLAENY_MMSI369970099,90,18,7,,A
CALLAENZ_MMSI369970029,35,15,6,,B
CALLAEOG_MMSI368926038,,,,,A
CALLAEPC_MMSI369970907,90,,,,B
CALLAEPP_MMSI366999423,90,,,,A
CALLAEPR_MMSI366999373,90,,,,A
CALLAEPU_MMSI368926043,90,,,,A
CALLAEQC_MMSI369970978,90,,,,A
CALLAEQD_MMSI368926350,33,4,4,1.0,A
CALLAEQE_MMSI368926288,33,9,3,0.0,B
CALLAEQF_MMSI368926289,33,8,3,,B
CALLAEQL_MMSI368926365,57,8,3,,B
CALLAEQW_MMSI369970510,90,,,,A
CALLAERY_MMSI368926001,90,71,0,,A
CALLAESD_MMSI368296016,56,9,2,,B
CALLAESJ_MMSI368926068,,,,,A
CALLAESL_MMSI368926076,33,,,,B
CALLAESN_MMSI368926078,33,,,,B
CALLAESO_MMSI366999283,90,,,,A
CALLAESQ_MMSI368926103,31,22,,,B
CALLAESR_MMSI368926104,31,20,8,,B
CALLAESZ_MMSI368926258,33,19,7,0.0,A
CALLAETG_MMSI366999388,90,,,,A
CALLAEUD_MMSI368926627,0,36,0,0.0,A
CALLAEUD_MMSI368926628,0,0,0,0.0,A
CALLAEUI_MMSI369994000,60,71,17,,A
CALLAEUK_MMSI366999330,31,,,,A
CALLAEUT_MMSI368926656,35,9,2,,B
CALLAEUV_MMSI366999413,90,26,,,A
CALLAEVH_MMSI366999314,90,,,,A
CALLAEVZ_MMSI369970445,90,,,,A
CALLAEWY_MMSI366999276,90,18,,,A
CALLAFISHIA_MMSI338215785,37,9,4,,B
CALLAILA_MMSI368103590,36,9,4,,B
CALLALIIKIA_MMSI338313735,37,12,4,,B
CALLALL IN_MMSI338392382,37,0,0,,B
CALLAMMD_MMSI368926293,33,8,3,,B
CALLANDEN 2_MMSI338363321,37,10,4,,B
CALLANI0001_MMSI201999990,0,60,0,,B
CALLANIM_MMSI338309725,36,9,4,,B
CALLANNABEL_MMSI338426008,37,9,2,,B
CALLAPPLY_MMSI225984455,,,,,B
CALLAPPLY_MMSI338136263,37,21,,,B
CALLAPPLY_MMSI338162373,37,18,,,B
CALLAPPLY_MMSI369970732,90,37,10,2.4,A
CALLAQUILA_MMSI316042446,37,15,6,,B
CALLARCADIA_MMSI368161980,37,15,5,,B
CALLARCHER_MMSI316030435,36,14,4,,B
CALLARDENT_MMSI338355856,36,15,2,,B
CALLARGO 2_MMSI316037968,37,0,0,,B
CALLARIA48_MMSI338243697,36,15,5,,B
CALLARTHUR_MMSI338390586,37,0,4,,B
CALLASASKA_MMSI368045740,37,0,0,,B
CALLAURORA_MMSI338145799,37,13,4,,B
CALLAVIELLA_MMSI338395196,36,10,4,,B
CALLAYEA_MMSI368926276,33,0,0,0.0,A
CALLAZULITA_MMSI338314276,36,0,0,,B
CALLB1RD_MMSI338242187,30,10,3,,B
CALLBACCALA_MMSI338345505,37,11,4,,B
CALLBBHAPPY_MMSI338366852,37,10,4,,B
CALLBC2_MMSI338321456,37,5,2,,B
CALLBEAR_MMSI316036153,52,0,0,,B
CALLBENE 48_MMSI338302345,36,15,4,,B
CALLBENST34_MMSI338223442,37,10,4,,B
CALLBESTIME_MMSI338244545,37,8,2,,B
CALLBIGEYES_MMSI338306463,37,10,4,,B
CALLBIGPAPA_MMSI316038973,37,11,3,,B
CALLBLONDIE_MMSI338310898,37,12,5,,B
CALLBLUESKY_MMSI338328494,37,17,4,,B
CALLBO12345_MMSI107010184,0,0,0,,B
CALLBO12345_MMSI107010185,0,0,0,,B
CALLBO12345_MMSI107040003,0,0,0,,B
CALLBOAT 14_MMSI338303461,31,12,3,,B
CALLBODACI_MMSI338427787,37,11,4,,B
CALLBONA FI_MMSI338379012,37,0,0,,B
CALLBOSTON_MMSI338304599,37,35,10,,B
CALLBR-04_MMSI345026012,51,9,3,1.0,A
CALLBRAVO_MMSI338401543,37,0,0,,B
CALLBRIO_MMSI338001001,37,14,4,,B
CALLB_MMSI316016040,37,2,0,,B
CALLC NOTE_MMSI338237138,37,0,0,,B
CALLC and SII_MMSI338391513,36,47,14,,B
CALLC0N18_MMSI310000901,30,60,14,6.1,A
CALLC17471B_MMSI316018463,51,,,,B
CALLC6BK2_MMSI311000286,,,,,A
CALLC6CV5_MMSI983110124,60,11,4,,B
CALLC6CV5_MMSI983110126,37,11,4,,B
CALLC6DF6_MMSI311000660,51,0,0,9.0,A
CALLC6DM6_MMSI311001092,53,0,0,,B
CALLC6DV3_MMSI311000792,69,42,12,2.0,A
CALLC6EF4_MMSI983110243,37,0,0,,B
CALLC6EM6_MMSI311000938,37,16,6,,B
CALLC6FA9_MMSI311001057,37,14,5,,B
CALLCANDY G_MMSI338191741,37,13,5,,B
CALLCAPE 32_MMSI338346264,37,0,0,,B
CALLCAPITAL_MMSI367638970,55,10,6,0.0,A
CALLCARASOL_MMSI316036025,60,80,16,,B
CALLCARETTA_MMSI338420852,37,0,0,,B
CALLCARL_MMSI338366851,37,10,3,,B
CALLCARYYOU_MMSI338390687,40,0,0,,B
CALLCCPDSAR_MMSI338205535,34,5,2,,B
CALLCFA2065_MMSI316031782,37,,,,B
CALLCFA2080_MMSI316031939,,,,,B
