1438,114,1627,CALLAEUK_MMSI366999330
489,1071,15692,CALLAEUT_MMSI368926656
1878,287,5953,CALLAEUV_MMSI366999413
484,403,7324,CALLAEVH_MMSI366999314
501,69,15,CALLAEVZ_MMSI369970445
135,70,8,CALLAEWY_MMSI366999276
45,174,536,CALLAFISHIA_MMSI338215785
3182,190,61,CALLAILA_MMSI368103590
12,205,79,CALLALIIKIA_MMSI338313735
1894,319,3644,CALLALL IN_MMSI338392382
764,245,142,CALLAMMD_MMSI368926293
161,3532,14560,CALLANDEN 2_MMSI338363321
12,96,30,CALLANI0001_MMSI201999990
915,246,121,CALLANIM_MMSI338309725
89,3198,22536,CALLANNABEL_MMSI338426008
259,160,233,CALLAPPLY_MMSI225984455
2210,274,2310,CALLAPPLY_MMSI338136263
604,974,5090,CALLAPPLY_MMSI338162373
352,316,275,CALLAQUILA_MMSI316042446
633,954,4747,CALLARCADIA_MMSI368161980
1275,288,174,CALLARCHER_MMSI316030435
1680,240,128,CALLARDENT_MMSI338355856
315,262,203,CALLARGO 2_MMSI316037968
2317,261,3295,CALLARIA48_MMSI338243697
486,335,3304,CALLARTHUR_MMSI338390586
1519,398,2808,CALLASASKA_MMSI368045740
32,138,69,CALLAURORA_MMSI338145799
107,121,76,CALLAVIELLA_MMSI338395196
72,74,25,CALLAYEA_MMSI368926276
3078,196,68,CALLAZULITA_MMSI338314276
156,315,2260,CALLB1RD_MMSI338242187
647,250,595,CALLBACCALA_MMSI338345505
165,105,51,CALLBBHAPPY_MMSI338366852
1601,376,1871,CALLBC2_MMSI338321456
943,289,2216,CALLBEAR_MMSI316036153
441,90,35,CALLBENE 48_MMSI338302345
32,13854,35374,CALLBENST34_MMSI338223442
58,99,32,CALLBESTIME_MMSI338244545
72,3422,23573,CALLBIGEYES_MMSI338306463
1442,419,341,CALLBIGPAPA_MMSI316038973
2,3015,2506,CALLBLONDIE_MMSI338310898
2754,219,131,CALLBLUESKY_MMSI338328494
