latitude,longitude,number of ships,inflection fraction
25,-121.7931247,1947,0.001027221
25,-120.7521578,2510,0.000398406
25,-119.7111909,2652,0.001131222
25,-118.670224,1426,0.001402525
25,-117.6292572,1188,0.001683502
25,-116.5882903,1068,0
25,-115.5473234,1317,0.001518603
25,-114.5063565,6375,0.000313726
25,-113.4653897,7109,0.001547334
25,-112.4244228,396,0.007575758
25,-96.80991961,308,0
25,-95.76895273,1123,0
25,-94.72798586,621,0.001610306
25,-93.68701898,848,0.003537736
25,-92.6460521,781,0.00128041
25,-91.60508522,2074,0.00048216
25,-90.56411835,704,0.002840909
25,-89.52315147,124,0.008064516
25,-88.48218459,127,0
25,-87.44121771,353,0.028328612
25,-86.40025084,1591,0.003771213
25,-85.35928396,1109,0.00270514
25,-84.31831708,6765,0.001330377
25,-83.2773502,3557,0.003092494
25,-82.23638333,57263,0.001798718
25,-81.19541645,19834,0.002016739
25,-80.15444957,83484,0.001054094
25,-79.11348269,25106,0.00035848
25,-78.07251582,290,0.010344828
25,-77.03154894,265,0.003773585
25,-75.99058206,365,0.005479452
25,-74.94961518,84,0.023809524
25,-72.86768143,21,0
26,-141.0123974,3,0
26,-139.9678612,40,0
26,-138.9233249,39,0
26,-137.8787886,40,0.025
26,-136.8342523,2,0
26,-135.789716,28,0
26,-134.7451798,53,0
26,-133.7006435,126,0
26,-132.6561072,122,0.008196721
26,-131.6115709,321,0.003115265
26,-130.5670347,447,0.002237137
26,-129.5224984,778,0
26,-128.4779621,910,0.001098901
26,-127.4334258,1041,0.000960615
26,-126.3888895,888,0.003378378
26,-125.3443533,754,0
26,-124.299817,1469,0
26,-123.2552807,1248,0.000801282
26,-122.2107444,1238,0.000807754
26,-121.1662082,1907,0.001573152
26,-120.1216719,1670,0
26,-119.0771356,1357,0
26,-118.0325993,812,0
26,-116.9880631,1152,0.000868056
26,-115.9435268,4084,0.000489716
26,-114.8989905,6859,0.000874763
26,-113.8544542,8016,0.001372256
26,-97.14187378,18461,0.003737609
26,-96.09733751,3007,0.000997672
26,-95.05280123,2694,0.002227172
26,-94.00826495,3925,0.001019108
26,-92.96372867,10264,0.000194856
26,-91.9191924,4154,0.00264805
26,-90.87465612,743,0.004037685
26,-89.83011984,312,0.009615385
26,-88.78558357,648,0.00617284
26,-87.74104729,1986,0.002014099
26,-86.69651101,1272,0.000786164
26,-85.65197473,3043,0.000657246
26,-84.60743846,1026,0.000974659
26,-83.56290218,4500,0.000222222
26,-82.5183659,8787,0.001138045
26,-81.47382963,2928,0.004439891
26,-80.42929335,167654,0.004509287
26,-79.38475707,86708,0.000449786
26,-78.34022079,12657,0.002291222
26,-77.29568452,2810,0.002491103
26,-76.25114824,1648,0.001820388
26,-75.20661196,722,0
26,-74.16207568,256,0.00390625
26,-73.11753941,49,0
26,-72.07300313,3,0
27,-141.518453,6,0
27,-138.3735984,4,0
27,-137.3253136,28,0
27,-136.2770288,142,0
27,-135.2287439,105,0.00952381
27,-134.1804591,482,0
27,-133.1321743,707,0
27,-132.0838894,789,0
